active,h_noise,n_noise_cols,seed,rho_A0,rho_A,rho_H1,rho_HN,rho_IV,rho_FA,rho_EBT
10,0.3,4,2,0.47692279167786344,0.09972544962980728,0.7493917608883471,0.7802002999297853,0.6380724454679685,0.8272215656643002,0.7802002999297853
10,0.3,4,3,0.3164550591720821,0.04384233748746681,0.7353538622461218,0.755997391747404,0.505614051816386,0.7994515734755737,0.755997391747404
10,0.3,4,4,0.42553694077398074,0.053949557088273176,0.7299158289533375,0.7621698388527542,0.592364696896584,0.80658790861099,0.7621698388527542
10,0.3,4,5,0.3635285766434255,0.05599050511296489,0.7218878432120419,0.7607470023876877,0.5483092590077661,0.8149257929020471,0.7607470023876877
10,0.3,12,0,0.32040668706651526,0.05932040957656348,0.6417522198560452,0.6435757332339348,0.4785264624948109,0.7685476810342088,0.6435757332339348
10,0.3,12,1,0.44022329069398974,0.1010914593211801,0.7275161017218511,0.7238929133160542,0.5884142729592206,0.812266974109144,0.7238929133160542
10,0.3,12,2,0.47692279167786344,0.09972544962980728,0.7493917608883471,0.7471138741123226,0.6215510241822002,0.8230277016074272,0.7471138741123226
10,0.3,12,3,0.3164550591720821,0.04384233748746681,0.7353538622461218,0.7204652475383894,0.4967228288560578,0.7979813011019579,0.7204652475383894
10,0.3,12,4,0.42553694077398074,0.053949557088273176,0.7299158289533375,0.7667415046381243,0.5934400713513118,0.8048628789214086,0.7667415046381243
10,0.3,12,5,0.3635285766434255,0.05599050511296489,0.7218878432120419,0.7285950880477886,0.5358338558507016,0.8138032233301838,0.7285950880477886
10,0.6,0,0,0.32040668706651526,0.19263818778455524,0.46330724117571703,0.6913463418486809,0.4941815162731653,0.7733827726264468,0.6913463418486809
10,0.6,0,1,0.44022329069398974,0.26616721711583896,0.581098548220407,0.7591705410005173,0.6025227234857351,0.8129358926571141,0.7591705410005173
10,0.6,0,2,0.47692279167786344,0.2816178389837447,0.5872782190681758,0.779505135117694,0.637510197516381,0.8271175437734711,0.779505135117694
10,0.6,0,3,0.3164550591720821,0.16512391607745008,0.5329886645033967,0.7652264450615127,0.5071789552156866,0.8000528296362219,0.7652264450615127
10,0.6,0,4,0.42553694077398074,0.22131235173268687,0.5670033412216601,0.7671961188276734,0.5940938200402025,0.8073141355154816,0.7671961188276734
10,0.6,0,5,0.3635285766434255,0.2039707948909841,0.5247408362011591,0.7604669619732568,0.5447282090994112,0.8159602328164024,0.7604669619732568
10,0.6,4,0,0.32040668706651526,0.19263818778455524,0.46330724117571703,0.674636380885785,0.48569747159383697,0.7741944804828929,0.674636380885785
10,0.6,4,1,0.44022329069398974,0.26616721711583896,0.581098548220407,0.7593537832665379,0.60028071463039,0.8129291504975232,0.7593537832665379
10,0.6,4,2,0.47692279167786344,0.2816178389837447,0.5872782190681758,0.7802002999297853,0.6380724454679685,0.8272215656643002,0.7802002999297853
10,0.6,4,3,0.3164550591720821,0.16512391607745008,0.5329886645033967,0.755997391747404,0.505614051816386,0.7994515734755737,0.755997391747404
10,0.6,4,4,0.42553694077398074,0.22131235173268687,0.5670033412216601,0.7621698388527542,0.592364696896584,0.80658790861099,0.7621698388527542
10,0.6,4,5,0.3635285766434255,0.2039707948909841,0.5247408362011591,0.7607470023876877,0.5483092590077661,0.8149257929020471,0.7607470023876877
10,0.6,12,0,0.32040668706651526,0.19263818778455524,0.46330724117571703,0.6435757332339348,0.4785264624948109,0.7685476810342088,0.6435757332339348
10,0.6,12,1,0.44022329069398974,0.26616721711583896,0.581098548220407,0.7238929133160542,0.5884142729592206,0.812266974109144,0.7238929133160542
10,0.6,12,2,0.47692279167786344,0.2816178389837447,0.5872782190681758,0.7471138741123226,0.6215510241822002,0.8230277016074272,0.7471138741123226
10,0.6,12,3,0.3164550591720821,0.16512391607745008,0.5329886645033967,0.7204652475383894,0.4967228288560578,0.7979813011019579,0.7204652475383894
10,0.6,12,4,0.42553694077398074,0.22131235173268687,0.5670033412216601,0.7667415046381243,0.5934400713513118,0.8048628789214086,0.7667415046381243
10,0.6,12,5,0.3635285766434255,0.2039707948909841,0.5247408362011591,0.7285950880477886,0.5358338558507016,0.8138032233301838,0.7285950880477886
10,1.2,0,0,0.32040668706651526,0.27544129842435733,0.36971715677351064,0.6913463418486809,0.4941815162731653,0.7733827726264468,0.6913463418486809
10,1.2,0,1,0.44022329069398974,0.38129127766813736,0.4898388431224675,0.7591705410005173,0.6025227234857351,0.8129358926571141,0.7591705410005173
10,1.2,0,2,0.47692279167786344,0.40609929467379025,0.5058733841692167,0.779505135117694,0.637510197516381,0.8271175437734711,0.779505135117694
10,1.2,0,3,0.3164550591720821,0.25474166452362307,0.40140867792992585,0.7652264450615127,0.5071789552156866,0.8000528296362219,0.7652264450615127
10,1.2,0,4,0.42553694077398074,0.3501940297213658,0.4717426459894264,0.7671961188276734,0.5940938200402025,0.8073141355154816,0.7671961188276734
10,1.2,0,5,0.3635285766434255,0.3130367842595616,0.4130646679052977,0.7604669619732568,0.5447282090994112,0.8159602328164024,0.7604669619732568
