seed,n_obs,A0_wall,A_wall,H1_wall,H1_tau2,H1_w_mean,HN_wall,HN_tau2,HN_w_mean,HP_wall,HP_n_selected,IV_wall,FA_wall,EBT_wall,rho_A0,exploit_rho_A0,rho_A,exploit_rho_A,rho_H1,exploit_rho_H1,rho_HN,exploit_rho_HN,rho_HP,exploit_rho_HP,rho_IV,exploit_rho_IV,rho_FA,exploit_rho_FA,rho_EBT,exploit_rho_EBT,var_A0,var_A,var_H1,var_HN,var_HP,var_IV,var_FA,var_EBT,top10_A0,top10_A,top10_H1,top10_HN,top10_HP,top10_IV,top10_FA,top10_EBT,total_wall
10,3680,0.0728147029876709,0.07145524024963379,0.07147407531738281,0.019658281499018476,0.4854251342167614,0.0707848072052002,0.00790609610424035,0.2750438634642772,0.1656181812286377,8,0.07068181037902832,0.07886624336242676,5.507469177246094e-05,0.39240572775352206,0.2852384959475619,0.3421542452007863,0.22148551435278038,0.4126009036420183,0.3130604923664847,0.7355544414939469,0.6774869822148267,0.7355544414939469,0.6774869822148267,0.5680734182652809,0.48729666630813717,0.794549301078842,0.7470747154435537,0.7355544414939469,0.6774869822148267,0.04376567299221742,0.040497040868593105,0.012811256058756229,0.017195340735832582,0.017195340735832582,0.02468141567249125,0.8138730288626305,0.04376567299221742,0.0,0.0,0.0,0.4,0.4,0.2,0.4,0.4,0.6498899459838867
11,3680,0.0785224437713623,0.06981992721557617,0.07024812698364258,0.016738497096198634,0.449307802959014,0.06983160972595215,0.008334015879761951,0.2888792044581101,0.1669631004333496,7,0.07278299331665039,0.07485675811767578,5.888938903808594e-05,0.37491584340082235,0.28178994017351056,0.33658257267325664,0.23545532400799318,0.40725268554663985,0.3212464182724968,0.7087880679185895,0.6613887866931477,0.7077324383598059,0.6603531579501758,0.5346867255546149,0.4645347532519873,0.7690256519909117,0.7306363834818438,0.7087880679185895,0.6613887866931477,0.038030806960979976,0.037253964845399154,0.008297579470709663,0.011588847209304387,0.011587445735184571,0.019034509883959518,0.7836213246724241,0.038030806960979976,0.1,0.1,0.1,0.4,0.4,0.2,0.5,0.4,0.6476123332977295
12,3680,0.0703277587890625,0.06915783882141113,0.07423853874206543,0.013827073379249884,0.4063585397496438,0.07008910179138184,0.004630934078121769,0.18650077506537527,0.16522932052612305,7,0.07095098495483398,0.08071327209472656,7.653236389160156e-05,0.3354400174140351,0.20045548759205783,0.27758530517422225,0.13315927571753272,0.3989730727777601,0.27725987296003896,0.7378600192825765,0.6694725170304132,0.7380030493824663,0.6697659711511526,0.5173218119457584,0.408890132467075,0.7938695469172439,0.741127643768146,0.7378600192825765,0.6694725170304132,0.03529661136925992,0.03402678183598332,0.0068885788806797585,0.011329641629251073,0.011327260071037348,0.018016077619602517,0.8325727377251211,0.03529661136925992,0.1,0.0,0.0,0.4,0.4,0.2,0.4,0.4,0.6465845108032227
13,3680,0.07296943664550781,0.07265448570251465,0.08056926727294922,0.014330995695515113,0.39914094780964465,0.07399773597717285,0.005992030530417074,0.21737321751609603,0.17259526252746582,8,0.07642793655395508,0.07944178581237793,5.984306335449219e-05,0.42430866377139076,0.3230997128878212,0.3791354721389887,0.2765520171095421,0.4648849065199573,0.36860699323235585,0.6584330450578525,0.5834844578560336,0.6584330450578525,0.5834844578560336,0.5328793452014605,0.44127274192130783,0.764205248674925,0.6983480063281867,0.6584330450578525,0.5834844578560336,0.037347768973872264,0.03590459904993197,0.007163257128904132,0.011084642044889782,0.011084642044889782,0.018456688580207527,0.8123161035268375,0.037347768973872264,0.2,0.1,0.2,0.5,0.5,0.3,0.6,0.5,0.6769938468933105
14,3680,0.07022213935852051,0.08057498931884766,0.07915663719177246,0.017522004244588316,0.4583487188556577,0.07499074935913086,0.009576366895003123,0.31623010800821055,0.1713099479675293,8,0.07912969589233398,0.07438349723815918,7.605552673339844e-05,0.4176599312492355,0.3116749689755825,0.38492217139918117,0.2782133431213186,0.4532614233854695,0.34570185097792466,0.7614669687154163,0.7006033593763655,0.7614669687154163,0.7006033593763655,0.6004430080433965,0.5123188785765473,0.8457706914469927,0.8059650778669185,0.7614669687154163,0.7006033593763655,0.03879940753759694,0.038228544171204096,0.008602051563683289,0.011544836253511135,0.011544836253511133,0.019197996692684183,0.7873929149160821,0.03879940753759694,0.1,0.1,0.1,0.4,0.4,0.2,0.4,0.4,0.673680305480957
15,3680,0.06943821907043457,0.06944799423217773,0.07221412658691406,0.013967636014088933,0.40606987238500564,0.08148741722106934,0.004123422086602935,0.1679402550036979,0.15947246551513672,8,0.07305169105529785,0.07492184638977051,5.1021575927734375e-05,0.4109760431806427,0.3001531725005681,0.33911545755666067,0.2146074294729338,0.47478528629617545,0.3769974976250228,0.7651236271277534,0.7092191744031732,0.7651236271277534,0.7092191744031732,0.6063094092616084,0.5261621319933116,0.7671869687539431,0.7093014828973772,0.7651236271277534,0.7092191744031732,0.036085210404942406,0.034397124642740896,0.007359921935962811,0.012224788246399469,0.012224788246399474,0.01884745784316034,0.7721476785892275,0.036085210404942406,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.6456139087677002
16,3680,0.06926369667053223,0.06948971748352051,0.0703279972076416,0.014199561726757806,0.4177601796393465,0.07052874565124512,0.004232638213751895,0.17619238945869095,0.16891741752624512,8,0.07276248931884766,0.07560086250305176,6.890296936035156e-05,0.4945224769153272,0.3465702693777422,0.37730160473029917,0.20725776558677442,0.5460041628019645,0.4150540170778884,0.8085799759786486,0.7482089783594713,0.8085799759786486,0.7482089783594713,0.6679659771363737,0.5657663820351937,0.8324732264026823,0.7812042135342603,0.8085799759786486,0.7482089783594713,0.03871575823394827,0.03398974440076199,0.010658025290956616,0.015438695986787298,0.015438695986787298,0.02191507822824006,0.8270280175551286,0.03871575823394828,0.2,0.0,0.2,0.3,0.3,0.2,0.4,0.3,0.640068769454956
17,3680,0.07523679733276367,0.06944155693054199,0.07987546920776367,0.020031342379781065,0.4821106047576945,0.07356834411621094,0.010612082027802606,0.330285706091244,0.17555928230285645,8,0.0723872184753418,0.07610273361206055,6.651878356933594e-05,0.41873073066709826,0.3371792578526439,0.40930374681071774,0.3278202898590153,0.4292761906413047,0.3483460189444203,0.7292577460189955,0.6801576683957913,0.7292577460189955,0.6801576683957913,0.5735605730065121,0.5112762624795877,0.8332126968349415,0.7957506660200873,0.7292577460189955,0.6801576683957913,0.04165891130350335,0.041549267288672656,0.009766966603655383,0.013033923372460132,0.013033923372460132,0.02105352104593048,0.8019865703177146,0.04165891130350335,0.0,0.0,0.0,0.3,0.3,0.2,0.7,0.3,0.6666646003723145
18,3680,0.07235360145568848,0.07434844970703125,0.07415294647216797,0.014359770916789576,0.419087571243594,0.07181835174560547,0.0075574815027302615,0.27519699135714953,0.17739462852478027,8,0.07198786735534668,0.0742197036743164,5.650520324707031e-05,0.3959140586548621,0.32523750935120965,0.3461737762739551,0.26694673174003675,0.4396812692211746,0.3749037255999236,0.6918970318123985,0.660532728096396,0.6918970318123985,0.660532728096396,0.5351885348612994,0.48762325560536374,0.789308235162674,0.7587066180241275,0.6918970318123985,0.660532728096396,0.03522583626176997,0.03426436836143483,0.006979469417466876,0.009843553486183123,0.009843553486183123,0.01699487758110618,0.760836943082506,0.03522583626176997,0.1,0.1,0.1,0.3,0.3,0.2,0.3,0.3,0.661395788192749
19,3680,0.07477188110351562,0.06954693794250488,0.07106471061706543,0.016610383614220466,0.4473160660093605,0.07020950317382812,0.004807157652201941,0.18977960214543318,0.1678011417388916,5,0.07696127891540527,0.0853586196899414,5.125999450683594e-05,0.46260581578686305,0.34527288876198275,0.4124583551249563,0.28411538519617763,0.4970209286265354,0.3882708693974991,0.8105857684569027,0.7631684254310883,0.8101058711688883,0.762525276375632,0.6402915791389878,0.5614787348976659,0.8514143606072951,0.8142881362679784,0.8105857684569027,0.7631684254310883,0.03897821983756415,0.03713343847093762,0.009274872819845965,0.014560307795330303,0.014557635690954623,0.021377943801283373,0.8605866434046756,0.038978219837564144,0.0,0.0,0.1,0.3,0.3,0.2,0.3,0.3,0.6599900722503662
