seed,n_obs,A0_wall,A_wall,B_wall,C_wall,C_useful_recall,C_noise_fpr,C_sel_k,D_wall,D_useful_recall,D_noise_fpr,D_sel_k,E_wall,F_wall,F_bad_retained,G_wall,G_bad_retained,rho_A0,exploit_rho_A0,rho_A,exploit_rho_A,rho_B,exploit_rho_B,rho_C,exploit_rho_C,rho_D,exploit_rho_D,rho_E,exploit_rho_E,rho_F,exploit_rho_F,rho_G,exploit_rho_G,var_A0,var_A,var_B,var_C,var_D,mse_A0,mse_A,mse_B,mse_C,mse_D,total_wall
10,3680,0.07035279273986816,0.07726478576660156,0.09012413024902344,0.18084454536437988,1.0,1.0,8,0.33777332305908203,1.0,0.0,4,0.07290029525756836,0.18348264694213867,1.0,0.8652212619781494,0.0,0.39240572775352206,0.2852384959475619,0.3421542452007863,0.22148551435278038,-0.009751089099565324,-0.12951446666624486,-0.009751089099565324,-0.12951446666624486,-0.006217234308345927,-0.12524090020436182,0.32549364647775136,0.23062485368831975,0.32549364647775136,0.23062485368831975,0.39240572775352206,0.2852384959475619,0.04376567299221742,0.040497040868593105,0.028744855473815348,0.028744855473815355,0.028984760811374417,0.15343443704096735,0.17692959821123946,0.2506213083286763,0.2506213083286763,0.2504093003486751,1.9246716499328613
11,3680,0.07306337356567383,0.07722878456115723,0.07767105102539062,0.15984773635864258,1.0,0.75,7,0.2933382987976074,1.0,0.0,4,0.07712101936340332,0.22186827659606934,1.0,0.8901660442352295,0.0,0.37491584340082235,0.28178994017351056,0.33658257267325664,0.23545532400799318,0.05801917277554484,-0.045803062615542685,0.05737890840583563,-0.04602655325229254,0.05748124475676697,-0.04615631216024157,0.20921715821825915,0.1359787867084134,0.20921715821825915,0.1359787867084134,0.37491584340082235,0.28178994017351056,0.038030806960979976,0.037253964845399154,0.028849483628962728,0.02885225528955007,0.029019618865868176,0.1428760780714722,0.15135996460637494,0.20268256635006274,0.20268592725026402,0.20246068076488924,1.9202914237976074
12,3680,0.06930088996887207,0.06891918182373047,0.06864595413208008,0.17722415924072266,1.0,0.75,7,0.2960999011993408,1.0,0.0,4,0.07177352905273438,0.18390941619873047,1.0,0.8935091495513916,0.0,0.3354400174140351,0.20045548759205783,0.27758530517422225,0.13315927571753272,-0.01650817775800078,-0.13613573894217426,-0.016391634713646037,-0.1356976701107716,-0.017403199443675518,-0.13716364080695662,0.22181319787371553,0.10743735583213256,0.22181319787371553,0.10743735583213256,0.3354400174140351,0.20045548759205783,0.03529661136925992,0.03402678183598332,0.02483064253485549,0.02483424176702326,0.024883678398586427,0.16388865151344276,0.1813617116097774,0.23921126737922202,0.23922036688595047,0.2392640166661368,1.8742718696594238
13,3680,0.08404946327209473,0.07842516899108887,0.07464098930358887,0.17777347564697266,1.0,1.0,8,0.31058692932128906,1.0,0.0,4,0.07493257522583008,0.21026039123535156,1.0,0.8331100940704346,0.0,0.42430866377139076,0.3230997128878212,0.3791354721389887,0.2765520171095421,0.12855805432832199,0.09309209562593386,0.12855805432832199,0.09309209562593386,0.11909109909722485,0.08359395599566402,0.265229575349894,0.20065772126680922,0.265229575349894,0.20065772126680922,0.42430866377139076,0.3230997128878212,0.037347768973872264,0.03590459904993197,0.027565633884834177,0.027565633884834177,0.028309155869881364,0.1851014052333274,0.2049414727893302,0.25914478241044214,0.25914478241044214,0.2596127602619945,1.899200201034546
14,3680,0.0703115463256836,0.0701441764831543,0.06899595260620117,0.1602950096130371,1.0,1.0,8,0.32748842239379883,1.0,0.0,4,0.08116292953491211,0.200270414352417,1.0,0.808927059173584,0.0,0.4176599312492355,0.3116749689755825,0.38492217139918117,0.2782133431213186,0.07963236930082843,-0.04444898886616678,0.07963236930082843,-0.04444898886616678,0.076652334761708,-0.048832957544613996,0.2637410028288175,0.1263125513432262,0.2637410028288175,0.1263125513432262,0.4176599312492355,0.3116749689755825,0.03879940753759694,0.038228544171204096,0.030282906821619097,0.0302829068216191,0.03035027697246679,0.15323327740212137,0.15996616822612691,0.21263273565872146,0.21263273565872146,0.21266831742676598,1.8372607231140137
15,3680,0.07015752792358398,0.07350325584411621,0.07153749465942383,0.17053937911987305,1.0,1.0,8,0.29807567596435547,1.0,0.0,4,0.07667422294616699,0.20434999465942383,1.0,0.8780479431152344,0.0,0.4109760431806427,0.3001531725005681,0.33911545755666067,0.2146074294729338,0.010321523959227273,-0.11155457135146284,0.010321523959227273,-0.11155457135146284,0.009447210335152754,-0.11229469195472182,0.27274467537946323,0.1660300055451659,0.27274467537946323,0.1660300055451659,0.4109760431806427,0.3001531725005681,0.036085210404942406,0.034397124642740896,0.02455291071525524,0.02455291071525524,0.0247576751612903,0.11816720663991555,0.13184434361236594,0.1840404056088931,0.1840404056088931,0.18401121277821186,1.8882896900177002
16,3680,0.07304739952087402,0.07822060585021973,0.06918597221374512,0.17831683158874512,1.0,1.0,8,0.31583142280578613,1.0,0.0,4,0.08679080009460449,0.1962594985961914,1.0,0.8013784885406494,0.0,0.4945224769153272,0.3465702693777422,0.37730160473029917,0.20725776558677442,0.0827891447377926,-0.038303937888784806,0.0827891447377926,-0.038303937888784806,0.07860033730061268,-0.047206814980556545,0.19321729113511962,0.056480364472061416,0.19321729113511962,0.056480364472061416,0.4945224769153272,0.3465702693777422,0.03871575823394827,0.03398974440076199,0.02402282088775651,0.02402282088775651,0.02440448490666245,0.16117530849469255,0.20360835177198333,0.27901608466916356,0.27901608466916356,0.2786050091444762,1.845773458480835
17,3680,0.07274556159973145,0.08009839057922363,0.07562637329101562,0.2139263153076172,1.0,1.0,8,0.314267635345459,1.0,0.0,4,0.07447457313537598,0.1975400447845459,1.0,0.8445367813110352,0.0,0.41873073066709826,0.3371792578526439,0.40930374681071774,0.3278202898590153,0.10651793462609428,-0.0081323484102915,0.10651793462609428,-0.0081323484102915,0.1007625382497161,-0.017131186063261878,0.2738636330801171,0.17875251394102304,0.2738636330801171,0.17875251394102304,0.41873073066709826,0.3371792578526439,0.04165891130350335,0.041549267288672656,0.03213000693669445,0.03213000693669445,0.03237813883611062,0.15109819034553382,0.15450086108070937,0.21970830901294186,0.21970830901294192,0.21974705529808314,1.9218080043792725
18,3680,0.07338190078735352,0.07472825050354004,0.07641792297363281,0.1827843189239502,1.0,1.0,8,0.3228137493133545,1.0,0.0,4,0.07136774063110352,0.23078417778015137,1.0,0.8166394233703613,0.0,0.3959140586548621,0.32523750935120965,0.3461737762739551,0.26694673174003675,0.08655849353186104,-0.012788490098929463,0.08655849353186104,-0.012788490098929463,0.08473088669993442,-0.012673123307276688,0.1383616359561297,0.05145293912338137,0.1383616359561297,0.05145293912338137,0.3959140586548621,0.32523750935120965,0.03522583626176997,0.03426436836143483,0.027462078947375713,0.02746207894737571,0.027814205174137276,0.1369845338331684,0.14548134932500978,0.18622856397699758,0.18622856397699758,0.18631445841213526,1.9013111591339111
19,3680,0.07176756858825684,0.06883525848388672,0.06949806213378906,0.16984891891479492,1.0,0.25,5,0.26824069023132324,0.0,0.0,0,0.07671976089477539,0.21610236167907715,1.0,0.8581235408782959,0.0,0.46260581578686305,0.34527288876198275,0.4124583551249563,0.28411538519617763,0.06987164854470485,-0.04712353815720293,0.06947506508591919,-0.04671650785849897,0.46260581578686305,0.34527288876198275,0.24883456955645258,0.15967462286206136,0.24883456955645258,0.15967462286206136,0.46260581578686305,0.34527288876198275,0.03897821983756415,0.03713343847093762,0.025330212508919883,0.02533428365671069,0.03897821983756415,0.17363402371331896,0.1958634075995009,0.28626467873187883,0.28625349180208604,0.17363402371331896,1.846693515777588
