p_useful,p_noise,p_total,rho_A0,rho_A,rho_HN,rho_EBT,tau2,w_mean,var_HN,var_A0,seed,n_builds
4,12,16,0.4186664666616666,0.3594524863121578,0.7055921398034951,0.7055921398034951,0.005701228246092326,0.2128647958955874,0.00949214265015477,0.035061882672339666,0,200
8,0,8,0.4186664666616666,0.3594524863121578,0.6801500037500938,0.6801500037500938,0.004342248033073436,0.17079091230496643,0.010379148579238133,0.035061882672339666,0,200
8,2,10,0.4186664666616666,0.3594524863121578,0.7033525838145954,0.7033525838145954,0.005712819187881822,0.21320529468173974,0.00948496421982253,0.035061882672339666,0,200
8,6,14,0.4186664666616666,0.3594524863121578,0.680073501837546,0.680073501837546,0.005158648568050244,0.19658921127208298,0.009835266194461123,0.035061882672339666,0,200
8,12,20,0.4186664666616666,0.3594524863121578,0.6548803720093005,0.6548803720093005,0.00583861628925245,0.2168818864490625,0.00940745393510135,0.035061882672339666,0,200
13,0,13,0.4186664666616666,0.3594524863121578,0.6962109052726321,0.6962109052726321,0.006629607676513147,0.23923488009946012,0.008936205830372437,0.035061882672339666,0,200
13,2,15,0.4186664666616666,0.3594524863121578,0.7364449111227781,0.7364449111227781,0.004764213014922691,0.18432851678800738,0.01009374741306862,0.035061882672339666,0,200
13,6,19,0.4186664666616666,0.3594524863121578,0.703438085952149,0.703438085952149,0.004190206736203961,0.16580228924024223,0.01048431924233705,0.035061882672339666,0,200
13,12,25,0.4186664666616666,0.3594524863121578,0.6845451136278408,0.6845451136278408,0.0036403634774139874,0.14724920529592506,0.010875457260912018,0.035061882672339666,0,200
20,0,20,0.4186664666616666,0.3594524863121578,0.7079606990174756,0.7079606990174756,0.0043591969207094315,0.1713433279417172,0.0103675024961267,0.035061882672339666,0,200
20,2,22,0.4186664666616666,0.3594524863121578,0.753854346358659,0.753854346358659,0.004549718918147802,0.1775027545929593,0.010237648831735651,0.035061882672339666,0,200
20,6,26,0.4186664666616666,0.3594524863121578,0.6503112577814446,0.6503112577814446,0.0017530941336169833,0.0767715801577823,0.013173965978833212,0.035061882672339666,0,200
20,12,32,0.4186664666616666,0.3594524863121578,0.6777724443111078,0.6777724443111078,0.002699558183064752,0.11351428362738086,0.011586660339484784,0.035061882672339666,0,200
0,0,0,0.36929573239330993,0.2646411160279007,0.36929573239330993,0.36929573239330993,,1.0,0.03520132629038869,0.03520132629038869,1,200
0,2,2,0.36929573239330993,0.2646411160279007,0.3692312307807696,0.3692312307807696,0.015252920672793362,0.43366464185644804,0.0066438221230220714,0.03520132629038869,1,200
0,6,6,0.36929573239330993,0.2646411160279007,0.3647806195154879,0.3647806195154879,0.0136242584683663,0.406166940412879,0.00719155532410799,0.03520132629038869,1,200
0,12,12,0.36929573239330993,0.2646411160279007,0.33901447536188406,0.33901447536188406,0.012554522702762565,0.38660516221251645,0.007581210998223369,0.03520132629038869,1,200
1,0,1,0.36929573239330993,0.2646411160279007,0.4633825845646142,0.4633825845646142,0.013008457982410581,0.3950613133911577,0.007412770928297928,0.03520132629038869,1,200
1,2,3,0.36929573239330993,0.2646411160279007,0.5395724893122329,0.5395724893122329,0.012070568803829836,0.3773254924455686,0.007766054929157071,0.03520132629038869,1,200
1,6,7,0.36929573239330993,0.2646411160279007,0.5257316432910824,0.5257316432910824,0.0110398998861342,0.35659586789399855,0.00817897321020837,0.03520132629038869,1,200
1,12,13,0.36929573239330993,0.2646411160279007,0.4934403360084003,0.4934403360084003,0.011807263567935208,0.3721577789891883,0.007868991832431204,0.03520132629038869,1,200
2,0,2,0.36929573239330993,0.2646411160279007,0.5660721518037952,0.5660721518037952,0.010197375322354249,0.33859637312424323,0.008537509392165259,0.03520132629038869,1,200
2,2,4,0.36929573239330993,0.2646411160279007,0.5249816245406136,0.5249816245406136,0.009607981742683402,0.3253940776593032,0.00880048902962818,0.03520132629038869,1,200
2,6,8,0.36929573239330993,0.2646411160279007,0.5513537838445962,0.5513537838445962,0.008646945946522894,0.30269869457616316,0.009252563718543933,0.03520132629038869,1,200
2,12,14,0.36929573239330993,0.2646411160279007,0.5617985449636241,0.5617985449636241,0.01015473748462737,0.3376586579717726,0.008556187961471255,0.03520132629038869,1,200
4,0,4,0.36929573239330993,0.2646411160279007,0.6665416635415886,0.6665416635415886,0.007732991230695322,0.2796516606428911,0.009711643023689232,0.03520132629038869,1,200
4,2,6,0.36929573239330993,0.2646411160279007,0.6539488487212181,0.6539488487212181,0.00852544834314534,0.29972026680420766,0.00931189172387137,0.03520132629038869,1,200
4,6,10,0.36929573239330993,0.2646411160279007,0.5938648466211657,0.5938648466211657,0.007431811295672396,0.2717194427397,0.009869646743118004,0.03520132629038869,1,200
4,12,16,0.36929573239330993,0.2646411160279007,0.5912307807695193,0.5912307807695193,0.006077264708117099,0.23377241442908583,0.010625522550807816,0.03520132629038869,1,200
8,0,8,0.36929573239330993,0.2646411160279007,0.6898132453311333,0.6898132453311333,0.006784342422981676,0.25406117289500335,0.010221385985306069,0.03520132629038869,1,200
8,2,10,0.36929573239330993,0.2646411160279007,0.6870441761044027,0.6870441761044027,0.007092902989735597,0.2625820570946735,0.010051656483065838,0.03520132629038869,1,200
8,6,14,0.36929573239330993,0.2646411160279007,0.6785344633615841,0.6785344633615841,0.006279125199351476,0.23967625995512176,0.010507922459202734,0.03520132629038869,1,200
8,12,20,0.36929573239330993,0.2646411160279007,0.6427420685517139,0.6427420685517139,0.008058685815150044,0.2880373283005701,0.009544606931643176,0.03520132629038869,1,200
13,0,13,0.36929573239330993,0.2646411160279007,0.7278226955673894,0.7278226955673894,0.005902031097215179,0.22857248265445126,0.010729101218362765,0.03520132629038869,1,200
13,2,15,0.36929573239330993,0.2646411160279007,0.7357533938348458,0.7357533938348458,0.004048728886504212,0.16892251497876878,0.011917282994454968,0.03520132629038869,1,200
