active,h_noise,seed,rho_A0,rho_A,rho_C
5,2.5,3,0.22807907204768055,0.1820002639073897,0.02905726308773572
5,2.5,4,0.27950489432628006,0.265701285729834,-0.01552021058653899
5,2.5,5,0.1758998134348125,0.1632948644970397,-0.019270777650318857
5,2.5,6,0.28691260138522484,0.2606706715094636,0.010591691925685992
5,2.5,7,0.2810177867801661,0.2700716498931368,-0.008461651077830527
10,0.3,0,0.32040668706651526,0.05932040957656348,0.018531548009473698
10,0.3,1,0.44022329069398974,0.1010914593211801,0.05800448449929352
10,0.3,2,0.47692279167786344,0.09972544962980728,0.07480715015656259
10,0.3,3,0.3164550591720821,0.04384233748746681,-0.002090310264552711
10,0.3,4,0.42553694077398074,0.053949557088273176,0.0512526932519651
10,0.3,5,0.3635285766434255,0.05599050511296489,0.046660319404994786
10,0.3,6,0.4131448514461451,0.11225647560349553,0.10333804321339032
10,0.3,7,0.3890329624182393,0.012389199830868112,0.03586347319461822
10,0.6,0,0.32040668706651526,0.19263818778455524,0.018531548009473698
10,0.6,1,0.44022329069398974,0.26616721711583896,0.05800448449929352
10,0.6,2,0.47692279167786344,0.2816178389837447,0.07480715015656259
10,0.6,3,0.3164550591720821,0.16512391607745008,-0.002090310264552711
10,0.6,4,0.42553694077398074,0.22131235173268687,0.0512526932519651
10,0.6,5,0.3635285766434255,0.2039707948909841,0.046660319404994786
10,0.6,6,0.4131448514461451,0.24253137271332434,0.10333804321339032
10,0.6,7,0.3890329624182393,0.18014544764568605,0.03586347319461822
10,1.2,0,0.32040668706651526,0.27544129842435733,0.018531548009473698
10,1.2,1,0.44022329069398974,0.38129127766813736,0.05800448449929352
10,1.2,2,0.47692279167786344,0.40609929467379025,0.07480715015656259
10,1.2,3,0.3164550591720821,0.25474166452362307,-0.002090310264552711
10,1.2,4,0.42553694077398074,0.3501940297213658,0.0512526932519651
10,1.2,5,0.3635285766434255,0.3130367842595616,0.046660319404994786
10,1.2,6,0.4131448514461451,0.3422613973799968,0.10333804321339032
10,1.2,7,0.3890329624182393,0.3081205459608204,0.03586347319461822
10,2.5,0,0.32040668706651526,0.3076134392430289,0.018531548009473698
10,2.5,1,0.44022329069398974,0.4257459477212946,0.05800448449929352
10,2.5,2,0.47692279167786344,0.459634690530059,0.07480715015656259
10,2.5,3,0.3164550591720821,0.2977616993324299,-0.002090310264552711
10,2.5,4,0.42553694077398074,0.40563432645344105,0.0512526932519651
10,2.5,5,0.3635285766434255,0.3540163526265046,0.046660319404994786
10,2.5,6,0.4131448514461451,0.38986682308476917,0.10333804321339032
10,2.5,7,0.3890329624182393,0.3665859052264258,0.03586347319461822
20,0.3,0,0.5236322325313053,0.17538933563722559,0.1487484143885391
20,0.3,1,0.5315299501176507,0.09383521006161372,0.03368310694124593
20,0.3,2,0.544110097539786,0.11936849080610223,0.1180535288944881
20,0.3,3,0.5065406171772889,0.09781067630602854,0.08060926006724822
20,0.3,4,0.5547829361719752,0.11564922662613665,0.08466418747826858
20,0.3,5,0.534313739654397,0.1448555395991112,0.10719239137658526
20,0.3,6,0.5530155271935376,0.14639347436004868,0.1503804985923334
20,0.3,7,0.5825370361273806,0.12909333364154635,0.10224316465413202
20,0.6,0,0.5236322325313053,0.35175580283228497,0.1487484143885391
20,0.6,1,0.5315299501176507,0.28145747190204995,0.03368310694124593
20,0.6,2,0.544110097539786,0.3180093677491686,0.1180535288944881
20,0.6,3,0.5065406171772889,0.2709700426586069,0.08060926006724822
20,0.6,4,0.5547829361719752,0.31378107052009985,0.08466418747826858
20,0.6,5,0.534313739654397,0.3490750720207119,0.10719239137658526
20,0.6,6,0.5530155271935376,0.30571961477226434,0.1503804985923334
20,0.6,7,0.5825370361273806,0.32769303525282617,0.10224316465413202
20,1.2,0,0.5236322325313053,0.46576572151220863,0.1487484143885391
20,1.2,1,0.5315299501176507,0.4369699579000292,0.03368310694124593
20,1.2,2,0.544110097539786,0.45616031121808676,0.1180535288944881
20,1.2,3,0.5065406171772889,0.39923601700180017,0.08060926006724822
20,1.2,4,0.5547829361719752,0.4680245857665306,0.08466418747826858
20,1.2,5,0.534313739654397,0.4787118718835571,0.10719239137658526
20,1.2,6,0.5530155271935376,0.4361705304056951,0.1503804985923334
20,1.2,7,0.5825370361273806,0.48245810470188577,0.10224316465413202
20,2.5,0,0.5236322325313053,0.5072285582469616,0.1487484143885391
20,2.5,1,0.5315299501176507,0.5114501133164394,0.03368310694124593
20,2.5,2,0.544110097539786,0.5187400733739597,0.1180535288944881
20,2.5,3,0.5065406171772889,0.4653074954514502,0.08060926006724822
