strategy,seed,rho_truth,rho_alpha_truth,exploit_spread_rho,ceiling_pct,top5_overlap,top10_overlap,top25_overlap,elapsed_s,pred_p10,pred_p50,pred_p90
A0_pre5d,14,0.49204732689484204,0.5003935599284436,0.40260043436537296,0.25333333333333335,0.2,0.2,0.28,0.07686042785644531,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,14,0.7500992878856327,0.7593782153135035,0.7052672880139003,0.25333333333333335,0.0,0.1,0.32,0.1360914707183838,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,14,0.7678880876454182,0.7678880876454182,0.725595280631777,0.0033333333333333335,0.4,0.4,0.44,0.14215469360351562,0.3067165781367668,0.5560724138790679,0.7780582142740805
H_cat_5d,14,0.7534863005327989,0.7623391371015233,0.7075545209947199,0.25333333333333335,0.0,0.1,0.36,0.1568145751953125,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,14,0.5584017600195558,0.5584017600195558,0.4729072387466548,0.006666666666666667,0.0,0.2,0.32,0.5953130722045898,0.2680268784085479,0.5091406149597886,0.7127834486659743
J_boxcox_cat_5d,14,0.7850562784030933,0.7850562784030933,0.7413844549610973,0.0033333333333333335,0.4,0.4,0.48,0.1631786823272705,0.3107713980634015,0.5207725587620038,0.7447303691705449
K_full_5d,14,0.7592875476394182,0.7592875476394182,0.7106700598671403,0.0033333333333333335,0.4,0.5,0.44,0.6093521118164062,0.3426840290019793,0.5120823426383287,0.6999830654816711
A0_pre5d,15,0.49683063925869414,0.5046011622351358,0.36487555038296327,0.25333333333333335,0.0,0.3,0.2,0.08061742782592773,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,15,0.742676852549566,0.7492349914999055,0.6649556390201551,0.25333333333333335,0.0,0.0,0.2,0.13553690910339355,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,15,0.7753215035722618,0.7753215035722618,0.6944229536756888,0.0033333333333333335,0.4,0.5,0.52,0.14301848411560059,0.26225840384808957,0.5061535948409902,0.7306032847344468
H_cat_5d,15,0.7372458023036633,0.7422491361015122,0.6500393970287387,0.25333333333333335,0.0,0.3,0.24,0.15292811393737793,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,15,0.6902396693296591,0.6902396693296591,0.5979490300129012,0.0033333333333333335,0.4,0.5,0.44,0.5889286994934082,0.23438222859032778,0.5033371843408466,0.7102289236993041
J_boxcox_cat_5d,15,0.7472914143490483,0.7472914143490483,0.6624386845847967,0.01,0.4,0.3,0.52,0.15984606742858887,0.2618096875174814,0.48532246065103424,0.700502281421804
K_full_5d,15,0.5761788464316269,0.5761788464316269,0.46146791347599647,0.0033333333333333335,0.2,0.1,0.24,0.601318359375,0.2168084309201206,0.5197662185800014,0.7764935025764153
A0_pre5d,16,0.48131271268974984,0.5054278380870898,0.3906258211640645,0.25333333333333335,0.0,0.0,0.16,0.08078718185424805,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,16,0.7217189136056005,0.7289774330825897,0.6735869805965178,0.25333333333333335,0.0,0.0,0.36,0.13602018356323242,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,16,0.7071958577317524,0.7071958577317524,0.6489935699445769,0.0033333333333333335,0.4,0.4,0.6,0.1441185474395752,0.30351735901585214,0.5276848915449006,0.7803780997993663
H_cat_5d,16,0.7367618473312562,0.7454593939932666,0.6912564579692483,0.25333333333333335,0.0,0.2,0.4,0.15160417556762695,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,16,0.6605157835087057,0.6605157835087057,0.6048801839624676,0.0033333333333333335,0.4,0.5,0.48,0.6013588905334473,0.22620656319204613,0.5057690895692473,0.7176810154057964
J_boxcox_cat_5d,16,0.7350019444660496,0.7350019444660496,0.6959317415401308,0.0033333333333333335,0.6,0.5,0.48,0.16684389114379883,0.29706379315678294,0.5202186500454447,0.7311755032668096
K_full_5d,16,0.613029922554695,0.613029922554695,0.5363122429981443,0.0033333333333333335,0.4,0.3,0.32,0.5992350578308105,0.2602239146633821,0.5181847051859574,0.7642512413611048
A0_pre5d,17,0.5067084739200434,0.5084438715985733,0.4117124892777202,0.25333333333333335,0.0,0.0,0.24,0.07663416862487793,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,17,0.7438132505218108,0.7490323225813619,0.6694234086576847,0.25333333333333335,0.2,0.3,0.44,0.1344597339630127,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,17,0.7617231302570029,0.7617231302570029,0.7028032082462532,0.0033333333333333335,0.2,0.5,0.52,0.1437840461730957,0.2436623923924924,0.43933951682377215,0.6165787039996834
H_cat_5d,17,0.7886407001071635,0.7938817097967755,0.7321444236973564,0.25333333333333335,0.2,0.4,0.44,0.15445733070373535,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,17,0.7032593695485505,0.7032593695485505,0.6268145024567373,0.0033333333333333335,0.2,0.5,0.44,0.6049878597259521,0.2749688137693388,0.5046031425809231,0.7169902661718754
J_boxcox_cat_5d,17,0.804881387570973,0.804881387570973,0.749153858957998,0.0033333333333333335,0.4,0.3,0.4,0.16822028160095215,0.26955346639554817,0.4567299816545169,0.6370498811273184
K_full_5d,17,0.7265934065934065,0.7265934065934065,0.6462655742353905,0.0033333333333333335,0.0,0.3,0.44,0.5989682674407959,0.3131200983685658,0.494289371057141,0.7043827652700243
A0_pre5d,18,0.5065812116865585,0.518215091278792,0.39743026413724797,0.25333333333333335,0.2,0.2,0.12,0.07970428466796875,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,18,0.7896115227439414,0.7926896965521838,0.7469161871595609,0.25333333333333335,0.2,0.1,0.2,0.13979887962341309,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,18,0.7754730608117868,0.7754730608117868,0.7318111900484728,0.0033333333333333335,0.4,0.5,0.4,0.14661741256713867,0.29948743754341023,0.4938160672579252,0.7194743661608771
H_cat_5d,18,0.7385710771470838,0.7448540539339326,0.6924615803607085,0.25333333333333335,0.2,0.3,0.24,0.16133642196655273,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,18,0.6731674796386625,0.6731674796386625,0.5920804767908748,0.0033333333333333335,0.2,0.3,0.28,0.6202983856201172,0.2371811125697203,0.4504041903093712,0.6497298001883901
J_boxcox_cat_5d,18,0.7997599973333036,0.7997599973333036,0.7557253319858901,0.0033333333333333335,0.4,0.5,0.48,0.16435980796813965,0.25370091614503176,0.516372849491149,0.7428289694920441
K_full_5d,18,0.6653416149068323,0.6653416149068323,0.5749292672002244,0.0033333333333333335,0.2,0.2,0.44,0.6049811840057373,0.2377290584770948,0.40809166387664075,0.5578570201903119
A0_pre5d,19,0.43549293135773454,0.4353057256191735,0.29273319662611796,0.25333333333333335,0.2,0.1,0.24,0.07915163040161133,0.10300000000000001,0.5016666666666667,1.0
A_baseline_5d,19,0.7503246854329667,0.7649596106623406,0.6880652826024538,0.25333333333333335,0.0,0.1,0.28,0.13768267631530762,0.10300000000000001,0.5016666666666667,1.0
D_boxcox_5d,19,0.7898185535394836,0.7898185535394836,0.7309524249878241,0.0033333333333333335,0.4,0.5,0.44,0.14589309692382812,0.2544819967365818,0.4875052408223473,0.6892025329914038
H_cat_5d,19,0.7965820427192001,0.8047471638573762,0.7405132135665902,0.25333333333333335,0.2,0.1,0.32,0.15862822532653809,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox_5d,19,0.7067927421415793,0.7067927421415793,0.6108805415302668,0.0033333333333333335,0.4,0.6,0.48,0.5936295986175537,0.26349825559777834,0.48832648319195676,0.7173060582691548
J_boxcox_cat_5d,19,0.7771033011477905,0.7771033011477905,0.7203252633980038,0.0033333333333333335,0.4,0.3,0.36,0.16553211212158203,0.22829954955989448,0.48281084036842337,0.6817834335059648
K_full_5d,19,0.5891096567739641,0.5891096567739641,0.5048999118410427,0.0033333333333333335,0.2,0.4,0.32,0.6105587482452393,0.24166289878040045,0.5202145550703832,0.7558763051323303
