noise_mult,seed,strategy,mean_cov_q_corr,prior_rho_upperbound,rho_truth,rho_alpha_truth,ceiling_pct,top5,top10,top25
4.0,0,D,0.13626240884688484,0.39833375926399184,0.5660471783019811,0.5660471783019811,0.0033333333333333335,0.2,0.3,0.28
4.0,0,J,0.13626240884688484,0.39833375926399184,0.5769072989699886,0.5769072989699886,0.0033333333333333335,0.2,0.2,0.24
4.0,1,A0,0.15568943378080857,0.370575673063034,0.4396533757478403,0.45853842820475776,0.25333333333333335,0.0,0.0,0.24
4.0,1,A,0.15568943378080857,0.370575673063034,0.5585355704002903,0.5578786430960344,0.25333333333333335,0.0,0.1,0.32
4.0,1,D,0.15568943378080857,0.370575673063034,0.5418940210446783,0.5418940210446783,0.0033333333333333335,0.4,0.2,0.4
4.0,1,J,0.15568943378080857,0.370575673063034,0.4330621451349459,0.4330621451349459,0.0033333333333333335,0.0,0.1,0.16
4.0,2,A0,0.12432844555460572,0.3160897343303814,0.45475075440789187,0.4528014755719508,0.25333333333333335,0.0,0.0,0.28
4.0,2,A,0.12432844555460572,0.3160897343303814,0.5697633257601364,0.5800953343926043,0.25333333333333335,0.0,0.2,0.16
4.0,2,D,0.12432844555460572,0.3160897343303814,0.45866198513316814,0.45866198513316814,0.0033333333333333335,0.2,0.3,0.2
4.0,2,J,0.12432844555460572,0.3160897343303814,0.4726141401571128,0.4726141401571128,0.0033333333333333335,0.0,0.0,0.12
4.0,3,A0,0.14610501478020785,0.30842653807264525,0.47844684785083313,0.4863836264847387,0.25333333333333335,0.0,0.0,0.16
4.0,3,A,0.14610501478020785,0.30842653807264525,0.480248011750454,0.48802275580839777,0.25333333333333335,0.0,0.0,0.12
4.0,3,D,0.14610501478020785,0.30842653807264525,0.43195368837431525,0.43195368837431525,0.0033333333333333335,0.6,0.4,0.24
4.0,3,J,0.14610501478020785,0.30842653807264525,0.4466489627662529,0.4466489627662529,0.0033333333333333335,0.2,0.2,0.32
4.0,4,A0,0.10638612483056072,0.2760857342859365,0.45975565541420255,0.46975855287280965,0.25333333333333335,0.0,0.0,0.24
4.0,4,A,0.10638612483056072,0.2760857342859365,0.4797118523759308,0.4791453238369314,0.25333333333333335,0.0,0.1,0.16
4.0,4,D,0.10638612483056072,0.2760857342859365,0.5448922765808508,0.5448922765808508,0.006666666666666667,0.0,0.0,0.28
4.0,4,J,0.10638612483056072,0.2760857342859365,0.487909865665174,0.487909865665174,0.006666666666666667,0.2,0.2,0.24
4.0,5,A0,0.167469137312194,0.38614562384026485,0.5175479450358238,0.5238169312992366,0.25333333333333335,0.0,0.1,0.08
4.0,5,A,0.167469137312194,0.38614562384026485,0.5591158682607231,0.5600897787753197,0.25333333333333335,0.0,0.1,0.16
4.0,5,D,0.167469137312194,0.38614562384026485,0.5563284036489294,0.5563284036489294,0.0033333333333333335,0.2,0.2,0.28
